,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Yellowknife,90,CA,1575389467,84,62.45,-114.38,-13.0,3.1
1,Mataura,0,NZ,1575389675,76,-46.19,168.86,9.44,3.58
2,Daru,100,PG,1575389677,91,-9.07,143.21,25.0,1.54
3,Carnarvon,15,ZA,1575389679,13,-30.97,22.13,23.9,11.16
4,Busembatia,100,UG,1575389682,86,0.77,33.62,23.08,1.51
5,Atuona,14,PF,1575389684,76,-9.8,-139.03,26.26,6.62
6,Abnub,0,EG,1575389686,40,27.27,31.15,22.0,5.1
7,Busselton,36,AU,1575389688,21,-33.64,115.35,24.44,4.1
8,Hithadhoo,0,MV,1575389690,79,-0.6,73.08,28.48,5.9
9,Ushuaia,75,AR,1575389692,47,-54.81,-68.31,13.0,10.8
10,Tongliao,0,CN,1575389694,61,43.61,122.27,-16.61,2.95
11,Vaini,75,IN,1575389696,83,15.34,74.49,22.0,2.1
12,Umea,75,SE,1575389699,94,63.83,20.26,1.0,3.1
13,Talnakh,100,RU,1575389701,72,69.49,88.39,-12.0,2.0
14,Castro,75,CL,1575389703,54,-42.48,-73.76,14.0,5.7
15,La Asuncion,88,AR,1575389706,78,-26.05,-65.39,17.78,2.2
16,Fairbanks,1,US,1575389708,83,64.84,-147.72,-16.0,0.9
17,Bambous Virieux,40,MU,1575389711,73,-20.34,57.76,25.0,5.1
18,Rikitea,100,PF,1575389713,85,-23.12,-134.97,24.02,7.91
19,Tanout,18,NE,1575389715,9,14.97,8.88,29.62,6.65
20,Norman Wells,75,CA,1575389718,84,65.28,-126.83,-15.0,7.7
21,Kalga,0,RU,1575389720,83,50.92,118.9,-30.11,2.32
22,Pedernales,95,EC,1575389722,72,0.07,-80.05,25.36,2.45
23,Pouebo,90,NC,1575389725,89,-20.4,164.57,20.65,1.42
24,Ahipara,0,NZ,1575389727,100,-35.17,173.16,13.89,1.9
25,Ayan,25,IR,1575389729,90,38.23,44.7,-2.58,0.47
26,Alofi,41,NU,1575389732,100,-19.06,-169.92,19.0,0.5
27,Port Alfred,100,ZA,1575389734,66,-33.59,26.89,18.33,4.47
28,Upernavik,100,GL,1575389736,78,72.79,-56.15,-10.32,3.72
29,Slidell,1,US,1575389738,61,30.28,-89.78,11.0,1.5
30,Igarka,100,RU,1575389740,87,67.47,86.57,-18.4,8.04
31,Tasiilaq,20,GL,1575389742,79,65.61,-37.64,0.0,2.47
32,Mehamn,20,NO,1575389744,86,71.03,27.85,-1.0,5.1
33,Zeya,100,RU,1575389746,92,53.74,127.27,-23.42,3.78
34,Kruisfontein,94,ZA,1575389751,64,-34.0,24.73,14.83,9.35
35,Hermanus,0,ZA,1575389753,58,-34.42,19.24,17.78,2.24
36,Ponnani,75,IN,1575389755,78,10.77,75.93,27.0,1.5
37,Dakar,20,SN,1575389628,33,14.69,-17.45,33.0,5.7
38,Ust-Kut,0,RU,1575389760,90,56.78,105.75,-31.58,1.14
39,Bluff,0,AU,1575389762,28,-23.58,149.07,25.7,5.14
40,Kapaa,75,US,1575389765,88,22.08,-159.32,23.0,7.7
41,Hobart,24,AU,1575389688,75,-42.88,147.33,6.0,7.7
42,Torbay,90,CA,1575389769,89,47.66,-52.73,2.22,7.7
43,Albany,40,US,1575389582,63,42.65,-73.75,-1.67,6.2
44,Rio Gallegos,40,AR,1575389773,33,-51.62,-69.22,17.0,8.2
45,Tuktoyaktuk,20,CA,1575389775,75,69.44,-133.03,-26.0,2.6
46,Arraial do Cabo,75,BR,1575389777,57,-22.97,-42.02,26.0,3.1
47,Jiaohe,67,CN,1575389779,66,43.72,127.34,-17.16,4.42
48,Chimore,79,BO,1575389782,55,-16.98,-65.13,30.52,2.06
49,Antofagasta,20,CL,1575389784,63,-23.65,-70.4,19.0,6.2
50,Port Elizabeth,1,US,1575389786,38,39.31,-74.98,6.67,7.7
51,Awjilah,100,LY,1575389788,37,29.14,21.3,22.08,1.9
52,Mount Isa,90,AU,1575389790,30,-20.73,139.49,21.0,3.1
53,Viedma,0,AR,1575389792,41,-40.81,-62.99,18.71,10.34
54,Lagoa,0,PT,1575389794,52,37.14,-8.45,18.0,4.1
55,Vila Franca do Campo,20,PT,1575389796,72,37.72,-25.43,18.0,5.7
56,Bredasdorp,91,ZA,1575389799,48,-34.53,20.04,17.0,6.2
57,Grindavik,75,IS,1575389801,93,63.84,-22.43,5.0,4.1
58,Turukhansk,100,RU,1575389803,87,65.8,87.96,-19.72,4.48
59,Qaanaaq,79,GL,1575389805,61,77.48,-69.36,-14.93,2.8
60,Pevek,100,RU,1575389807,84,69.7,170.27,-12.98,3.06
61,Sharjah,0,AE,1575389809,50,25.36,55.39,25.0,3.1
62,Barrow,100,AR,1575389811,33,-38.31,-60.23,23.27,8.61
63,Nanortalik,67,GL,1575389813,61,60.14,-45.24,-3.57,5.26
64,Colwyn Bay,75,GB,1575389816,87,53.29,-3.71,9.0,6.2
65,Punta Arenas,75,CL,1575389818,47,-53.16,-70.91,14.0,12.9
66,Dikson,100,RU,1575389823,87,73.51,80.55,-16.1,6.87
67,Saskylakh,1,RU,1575389825,98,71.97,114.09,-36.58,3.17
68,East London,100,ZA,1575389827,52,-33.02,27.91,19.0,9.3
69,Mar del Plata,100,AR,1575389829,69,-46.43,-67.52,10.45,14.86
70,Constitucion,5,MX,1575389831,24,23.99,-104.67,15.0,2.1
71,Khuzdar,57,PK,1575389833,33,27.8,66.62,12.44,1.39
72,Saint-Philippe,1,CA,1575389835,63,45.36,-73.48,-1.11,6.2
73,Novyye Gorki,93,RU,1575389839,97,56.73,41.06,-4.22,2.23
74,Totma,100,RU,1575389841,93,59.98,42.76,-4.28,4.11
75,Luderitz,0,NA,1575389843,36,-26.65,15.16,26.0,14.9
76,Sterling,1,US,1575389632,48,39.0,-77.4,7.78,7.7
77,Balaipungut,100,ID,1575389848,97,1.11,101.31,23.22,0.87
78,Shar,100,NG,1575389850,18,7.3,8.73,34.21,3.26
79,Hilo,90,US,1575389853,100,19.71,-155.08,19.44,4.1
80,Thompson,75,CA,1575389711,85,55.74,-97.86,-12.0,2.1
81,Ilulissat,20,GL,1575389859,47,69.22,-51.1,-11.0,6.2
82,Tuatapere,36,NZ,1575389863,76,-46.13,167.69,9.44,3.58
83,Cockburn Town,0,TC,1575389865,75,21.46,-71.14,26.94,4.81
84,Waverley,0,AU,1575389867,37,-33.9,151.26,20.0,4.1
85,Clyde River,75,CA,1575389869,83,70.47,-68.59,-22.0,1.5
86,Edgewood,40,US,1575389872,48,39.42,-76.29,7.78,8.2
87,Longyearbyen,0,NO,1575389812,72,78.22,15.63,-9.0,4.6
88,Alenquer,20,BR,1575389876,62,-1.95,-54.74,32.0,3.6
89,Araouane,0,ML,1575389879,9,18.9,-3.53,31.38,1.64
90,Khatanga,0,RU,1575389881,78,71.98,102.47,-32.73,4.01
91,Nikolskoye,99,RU,1575389883,86,59.7,30.79,-2.0,5.0
92,Mahebourg,40,MU,1575389885,73,-20.41,57.7,25.0,5.1
93,Kodiak,1,US,1575389887,64,39.95,-94.76,5.56,5.7
94,Jerez,20,ES,1575389889,59,36.68,-6.14,18.0,4.6
95,Flinders,0,AU,1575389891,37,-34.58,150.85,20.0,3.1
96,Abalak,2,NE,1575389893,8,15.46,6.28,30.97,5.68
97,Geraldton,90,CA,1575389896,86,49.72,-86.95,-3.0,3.6
98,Katsuura,40,JP,1575389898,52,33.93,134.5,8.33,2.6
99,Severo-Kurilsk,36,RU,1575389900,87,50.68,156.12,-3.93,1.55
100,Zabid,0,YE,1575389902,69,14.2,44.5,16.03,2.98
101,Sampit,100,ID,1575389904,96,-2.54,112.95,24.03,0.9
102,Sidi Ali,64,DZ,1575389911,39,36.1,0.42,19.04,2.49
103,Palmer,75,AU,1575389913,72,-34.85,139.16,16.11,5.1
104,Monkey Bay,34,MW,1575389915,60,-14.08,34.91,29.2,0.69
105,Sault Sainte Marie,90,CA,1575389917,86,46.49,-84.36,-1.0,2.1
106,Mahon,40,IE,1575389919,81,51.89,-8.4,8.33,4.6
107,Qaqortoq,75,GL,1575389922,44,60.72,-46.03,-7.0,3.6
108,Souillac,0,FR,1575389925,65,45.6,-0.6,8.0,2.6
109,Sztum,59,PL,1575389927,86,53.92,19.03,5.56,4.1
110,Saint George,75,GR,1575389929,81,39.45,22.34,10.0,2.6
111,Palana,100,RU,1575389931,78,59.08,159.95,-14.98,3.63
112,Tazovskiy,100,RU,1575389933,94,67.47,78.7,-13.82,5.61
113,Parrita,75,CR,1575389708,69,9.52,-84.33,26.0,7.7
114,Malinovskiy,94,RU,1575389938,82,54.15,34.53,-2.45,4.14
115,Butaritari,100,KI,1575389940,80,3.07,172.79,28.83,5.97
116,Olsztyn,0,PL,1575389942,92,53.78,20.48,-2.0,2.6
117,Ambilobe,100,MG,1575389944,73,-13.19,49.05,27.79,1.82
118,Pekan,20,MY,1575389946,88,3.49,103.39,25.0,3.1
119,Semey,43,KZ,1575389948,79,50.41,80.25,-3.0,5.0
120,Surabaya,10,ID,1575389868,85,-7.25,112.74,25.27,0.82
121,Poum,90,MK,1575389953,86,41.28,20.71,3.0,6.7
122,Broken Hill,0,AU,1575389955,38,-31.97,141.45,16.0,4.1
123,Cape Town,20,ZA,1575389889,48,-33.93,18.42,19.44,12.3
124,Mount Gambier,90,AU,1575389959,81,-37.83,140.78,11.0,5.1
125,Hobyo,28,SO,1575389961,54,5.35,48.53,27.12,6.03
126,Provideniya,86,RU,1575389963,94,64.42,-173.23,-9.3,3.99
127,Nosy Varika,0,MG,1575389965,76,-20.58,48.53,25.64,3.19
128,Te Anau,95,NZ,1575389967,96,-45.41,167.72,6.04,3.08
129,Bethel,90,US,1575389976,77,60.79,-161.76,-12.0,3.6
130,Taunggyi,0,MM,1575389978,94,20.78,97.03,14.3,1.29
131,Claveria,100,PH,1575389980,90,8.61,124.89,24.44,2.68
132,Dalby,0,AU,1575390013,46,-27.18,151.26,12.0,1.0
133,Ambunti,100,PG,1575390015,97,-4.22,142.82,24.1,0.69
134,Williams Lake,75,CA,1575390017,86,52.13,-122.14,-1.0,1.5
135,Inhambane,0,MZ,1575390019,74,-23.87,35.38,29.0,7.2
136,Codrington,0,AU,1575390022,39,-28.95,153.24,19.0,2.1
137,Chuy,77,UY,1575389786,45,-33.69,-53.46,22.35,3.36
138,Rawson,100,AR,1575390026,73,-43.3,-65.11,12.54,13.99
139,Peabiru,23,BR,1575390028,64,-23.91,-52.35,25.12,5.41
140,Calabozo,100,VE,1575390030,64,8.92,-67.43,29.64,3.65
141,Baghdad,83,IQ,1575389821,93,33.3,44.38,13.0,1.5
142,Faanui,45,PF,1575390035,71,-16.48,-151.75,27.53,1.59
143,Hasaki,75,JP,1575390037,81,35.73,140.83,7.0,3.1
144,Paita,100,PE,1575390039,100,-5.09,-81.11,17.0,5.7
145,Saint Anthony,90,US,1575390041,86,43.97,-111.68,-2.0,0.22
146,Bossier City,1,US,1575389889,57,32.52,-93.73,11.11,3.6
147,Ormara,67,PK,1575390046,50,25.21,64.64,25.93,4.56
148,Hudson Bay,44,CA,1575390048,90,52.86,-102.4,-4.86,4.41
149,Faya,20,SA,1575390050,82,18.39,42.45,18.0,2.1
150,Pervomayskoye,100,RU,1575390052,91,57.07,86.23,-11.83,3.76
151,Wasilla,90,US,1575389979,85,61.58,-149.44,-3.0,2.1
152,Le Locle,0,CH,1575390056,65,47.06,6.75,2.78,4.6
153,Bulle,40,CH,1575390061,86,46.61,7.06,4.0,1.0
154,Cidreira,0,BR,1575390063,63,-30.17,-50.22,19.32,4.81
155,Tiksi,0,RU,1575390065,95,71.64,128.87,-36.17,1.0
156,Shelburne,1,CA,1575390067,74,44.08,-80.2,0.56,3.79
157,Puerto Ayora,90,EC,1575390069,83,-0.74,-90.35,23.0,5.7
158,Xifeng,0,CN,1575390073,66,42.73,124.72,-12.89,2.21
159,Pecos,1,US,1575390075,39,31.42,-103.49,14.0,4.1
160,Namatanai,100,PG,1575390077,73,-3.66,152.44,28.94,2.8
161,Kalmunai,95,LK,1575390079,81,7.42,81.82,27.85,8.25
162,Kargasok,100,RU,1575390081,95,59.06,80.87,-8.47,4.05
163,Jumla,0,NP,1575390083,19,29.28,82.18,-0.33,2.6
164,Yar-Sale,100,RU,1575390085,95,66.83,70.83,-11.88,1.75
165,Yuanping,0,CN,1575390087,48,38.72,112.71,-5.25,2.84
166,Letlhakane,58,BW,1575390090,24,-21.42,25.59,34.84,3.42
167,Tres Arroyos,71,AR,1575389940,32,-38.38,-60.28,23.48,8.54
168,Khandyga,100,RU,1575390094,95,62.65,135.58,-32.86,1.39
169,Tahe,96,CN,1575390096,85,52.34,124.71,-28.09,5.3
170,Aykhal,0,RU,1575390098,67,65.95,111.51,-31.0,2.0
171,Methoni,40,GR,1575390100,82,36.82,21.7,17.78,2.19
172,Quelimane,54,MZ,1575390102,62,-17.88,36.89,31.0,6.2
173,Bellavista,5,MX,1575390104,64,21.56,-104.88,21.67,0.29
174,Pangnirtung,75,CA,1575390106,64,66.15,-65.72,-20.0,6.2
175,Vostok,100,RU,1575390110,95,46.45,135.83,-21.91,6.19
176,Kysyl-Syr,16,RU,1575390112,97,63.9,122.77,-39.83,2.46
177,Vila do Maio,75,CV,1575390114,54,15.13,-23.22,28.0,9.3
178,Beringovskiy,58,RU,1575390116,91,63.05,179.32,-18.02,6.23
179,Nantucket,90,US,1575390093,86,41.28,-70.1,2.0,6.2
180,Avarua,100,CK,1575390120,94,-21.21,-159.78,23.0,1.0
181,Lorengau,22,PG,1575390123,74,-2.02,147.27,28.83,2.01
182,Hualmay,91,PE,1575390125,62,-11.1,-77.61,22.61,3.5
183,Muros,0,ES,1575390127,61,42.77,-9.06,12.78,1.5
184,Half Moon Bay,75,US,1575390129,81,37.46,-122.43,12.22,2.1
185,Kavieng,11,PG,1575390131,68,-2.57,150.8,29.04,2.06
186,Kaitangata,0,NZ,1575390134,76,-46.28,169.85,8.33,2.24
187,Hofn,100,IS,1575390136,92,64.25,-15.21,9.13,15.35
188,Nizhneangarsk,0,RU,1575390138,63,55.78,109.57,-32.07,4.75
189,Belyy Yar,20,RU,1575390140,84,53.6,91.39,-16.0,0.39
190,Kamenka,76,MD,1575390142,79,48.03,28.7,-1.11,4.41
191,Cabo San Lucas,5,MX,1575389934,73,22.89,-109.91,24.44,2.1
192,Isla Vista,90,US,1575390149,87,34.41,-119.86,13.0,0.32
193,Mattru,0,SL,1575390151,41,7.62,-11.83,34.0,1.23
194,Ribeira Grande,40,PT,1575390153,63,38.52,-28.7,18.0,4.1
195,Kutum,8,SD,1575390155,12,14.2,24.66,25.45,2.84
196,Lekoni,20,GA,1575390157,55,-1.58,14.26,28.92,2.34
197,Ancud,40,CL,1575390159,58,-41.87,-73.83,15.0,6.2
198,Sitka,100,US,1575390161,53,37.17,-99.65,8.89,4.92
199,Jamestown,0,AU,1575390163,80,-33.21,138.6,8.46,3.19
200,Chokurdakh,1,RU,1575390166,99,70.62,147.9,-31.68,1.28
201,Sri Aman,100,MY,1575390168,100,1.24,111.46,24.0,0.9
202,Port Blair,0,IN,1575390170,75,11.67,92.75,28.14,6.92
203,Lethem,100,GY,1575390172,49,3.38,-59.8,32.29,5.05
204,Kaputa,100,ZM,1575390174,88,-8.47,29.66,24.0,0.74
205,Moundsville,90,US,1575390176,69,39.92,-80.74,1.11,4.6
206,Sobolevo,98,RU,1575390178,86,54.43,31.9,-3.22,4.49
207,Tiznit,98,MA,1575390180,79,29.7,-9.73,11.21,7.17
208,Havre-Saint-Pierre,20,CA,1575390182,58,50.23,-63.6,-3.0,4.1
209,Uetendorf,20,CH,1575390184,80,46.77,7.57,4.0,1.5
210,Bafoulabe,22,ML,1575390186,6,13.81,-10.83,37.25,3.6
211,Meulaboh,99,ID,1575390189,86,4.14,96.13,26.48,4.28
212,Ahwa,73,IN,1575390191,43,20.76,73.69,27.57,3.4
213,Klaksvik,75,FO,1575390193,93,62.23,-6.59,8.0,6.7
214,Kita,20,JP,1575390195,50,35.76,139.74,11.67,7.2
215,Palmares,80,BR,1575390197,33,-8.68,-35.59,33.77,4.4
216,Opuwo,100,NA,1575390199,41,-18.06,13.84,24.69,2.5
217,Yaypan,100,UZ,1575390201,42,40.38,70.82,9.19,2.28
218,Padang,100,ID,1575390203,96,-0.92,100.36,20.74,2.26
219,San Patricio,0,PY,1575390205,36,-26.98,-56.83,31.87,1.03
220,Suluq,100,LY,1575390207,42,31.67,20.25,20.82,2.94
221,Ghanzi,100,BW,1575390209,28,-21.7,21.65,32.55,2.36
222,Sinegorskiy,100,RU,1575390212,77,48.01,40.84,0.4,6.46
223,Ardesen,40,TR,1575390214,66,41.19,40.99,9.0,4.6
224,Muscat,20,OM,1575390216,57,23.6,58.55,25.0,4.1
225,Kapit,100,MY,1575390218,99,2.02,112.94,22.68,0.83
226,Almaznyy,40,RU,1575390220,79,48.03,40.04,0.0,7.0
227,Puerto Escondido,5,MX,1575390222,65,15.86,-97.07,28.0,1.02
228,Nemuro,9,JP,1575390227,56,43.32,145.57,-1.74,15.86
229,Naze,75,NG,1575390229,78,5.43,7.07,28.0,3.6
230,Ketchikan,90,US,1575390231,93,55.34,-131.65,3.0,1.5
231,Aksha,25,RU,1575390233,82,50.28,113.29,-24.32,1.18
232,Chino Valley,1,US,1575389978,74,34.76,-112.45,8.0,0.76
233,Plettenberg Bay,74,ZA,1575390238,67,-34.05,23.37,15.44,6.07
234,Bongandanga,49,CD,1575390240,58,1.51,21.07,28.95,0.98
235,Chapais,40,CA,1575390242,84,49.78,-74.86,-16.0,1.84
236,Moerai,88,PF,1575390244,83,-22.43,-151.33,24.67,0.7
237,Lander,1,US,1575390246,85,42.83,-108.73,1.0,2.1
238,Chara,75,GR,1575390248,81,39.42,22.43,10.0,2.6
239,Natubleng,100,PH,1575390250,99,16.7,120.78,18.17,3.83
240,Sangar,90,RU,1575390252,96,63.92,127.47,-37.13,4.04
241,Bilma,45,NE,1575390255,12,18.69,12.92,28.07,3.85
242,Carutapera,5,BR,1575390257,78,-1.2,-46.02,28.01,4.58
243,Kendari,100,ID,1575390259,89,-3.99,122.52,24.84,0.48
244,La Crosse,1,US,1575390234,86,43.8,-91.24,1.11,5.1
245,Georgetown,75,GY,1575390075,62,6.8,-58.16,32.0,6.2
246,Abu Samrah,0,SY,1575390265,58,35.3,37.18,13.77,0.73
247,Sorada,4,IN,1575390267,64,19.76,84.43,19.49,0.71
248,Shahrud,98,IR,1575390269,75,36.42,54.97,6.63,1.6
249,Reinbek,20,DE,1575390271,81,53.51,10.25,7.22,4.1
250,Xai-Xai,0,MZ,1575390274,46,-25.04,33.64,33.33,5.43
251,Leopoldsburg,75,BE,1575390277,100,51.12,5.26,5.0,1.0
252,Mosquera,75,CO,1575390279,48,4.71,-74.23,19.0,5.1
253,San Rafael del Sur,40,NI,1575390281,51,11.85,-86.44,30.0,5.1
254,Salaga,6,GH,1575390283,23,8.55,-0.52,38.12,1.38
255,San Andres,100,PH,1575390285,94,13.32,122.68,24.64,2.98
256,Labuhan,91,ID,1575390287,93,-2.54,115.51,23.67,0.79
257,Senador Jose Porfirio,67,BR,1575390289,60,-2.59,-51.95,30.78,1.31
258,Margate,24,AU,1575390291,77,-43.03,147.26,5.56,3.13
259,Khash,0,IR,1575390293,31,28.22,61.21,13.29,2.53
260,Santa Cruz,25,BR,1575390113,26,-6.22,-36.02,36.28,3.53
261,Toba,20,JP,1575390299,61,34.47,136.83,9.0,7.7
262,Samarai,88,PG,1575390301,90,-10.62,150.67,24.87,1.51
263,Baberu,0,IN,1575390303,35,25.55,80.7,17.98,1.76
264,Sorland,90,NO,1575390305,93,67.67,12.69,7.0,8.7
265,Beckley,100,US,1575390307,91,37.78,-81.19,2.22,2.57
266,Road Town,40,VG,1575390310,70,18.42,-64.62,31.0,2.6
267,Kungurtug,0,RU,1575390312,83,50.6,97.53,-17.68,1.03
268,Kandrian,24,PG,1575390314,95,-6.21,149.55,23.63,0.99
269,Cedar City,1,US,1575390271,100,37.68,-113.06,-3.0,2.41
270,Khiri Mat,0,TH,1575390318,70,16.83,99.8,20.61,0.92
271,Coihaique,20,CL,1575390320,44,-45.58,-72.07,16.0,2.1
272,Great Falls,75,US,1575390322,65,47.5,-111.29,6.0,11.3
